"ID","z_l","z_s"
2,  0.56850, 1.37389
3,  0.463,   2.39628
4,  0.495,   1.46470
5,  0.70884, 9999999
6,  0.357,   2.36671
7,  0.58110, 1.16674
8,  0.869,   1.81696
9,  0.57916, 1.86051
10, 0.47781, 9999999
11, 0.551,   1.56704
12, 0.34405, 2.62833
13, 0.56300, 2.99700
14, 0.60873, 2.43700
15, 0.61781, 2.30792
16, 0.63627, 2.46972
18, 0.63536, 1.95963
19, 0.78390, 2.35921
21, 0.65402, 1.30323
22, 0.759,   2.20096
23, 0.60290, 9999999
24, 0.89293, 2.36441
25, 9999999, 1.72698
26, 0.49515, 9999999
27, 0.52560, 1.95476
28, 0.57407, 1.90925
29, 0.63933, 9999999
30, 0.56491, 1.18842
31, 0.52207, 9999999
32, 0.722,   2.63350
33, 0.475,   1.23742
34, 9999999, 2.18739
35, 0.427,   1.81039
36, 0.873,   2.41673
37, 0.743,   2.43243
38, 0.595,   2.82512
39, 0.388,   1.43210
40, 0.46775, 1.58017
41, 0.314,   0.87872
42, 0.57160, 1.16149
43, 0.353,   1.01590
44, 0.336,   1.16757
45, 0.289,   1.16749
46, 0.663,   1.28944
47, 0.26500, 1.51409
48, 0.53761, 1.66569
49, 0.594,   2.16275
50, 9999999, 2.25890
51, 0.409,   9999999
52, 9999999, 1.72064
53, 0.75921, 1.72698
55, 0.529,   2.27766
56, 9999999, 1.33634
57, 9999999, 3.38845
58, 0.57744, 3.54898
59, 0.79261, 9999999
60, 0.39365, 1.41166
61, 0.591,   1.18096
62, 0.77900, 2.22253
64, 0.453,   1.94381
65, 0.20643, 9999999
66, 0.287,   2.08015
67, 9999999, 2.16767
68, 0.647,   1.89497
69, 0.343,   0.96034
70, 0.531,   2.25900
71, 0.492,   1.83700
72, 0.54122, 1.99099
73, 0.56600, 2.22450
74, 0.494,   2.66173